PARENT NAME,VARIETY NAME,SUB-VARIETY,TAGS,PARENT IMAGE,VARIETY IMAGE
Greens,Turnip,,"vegetable, leaf greens",greens_collard.jpeg,
Greens,Wild Leek,,"vegetable, leaf greens",greens_collard.jpeg,
Guavas,Beaumont Red,,"fruit, tropical",guava_redindian.jpeg,
Guavas,Hong Kong Pink,,"fruit, tropical",guava_redindian.jpeg,
Guavas,Mexican Cream,,"fruit, tropical",guava_redindian.jpeg,
Guavas,Pear,,"fruit, tropical",guava_redindian.jpeg,
Guavas,Pineapple,,"fruit, tropical",guava_redindian.jpeg,
Guavas,Red Indian,,"fruit, tropical",guava_redindian.jpeg,guava_redindian.jpeg
Guavas,Red Malaysian,,"fruit, tropical",guava_redindian.jpeg,
Guavas,Ruby,,"fruit, tropical",guava_redindian.jpeg,
Guavas,South African,,"fruit, tropical",guava_redindian.jpeg,
Guavas,Strawberry,,"fruit, tropical",guava_redindian.jpeg,
Guavas,Thai Maroon,,"fruit, tropical",guava_redindian.jpeg,
Guavas,Tropical Pink,,"fruit, tropical",guava_redindian.jpeg,
Guavas,White African,,"fruit, tropical",guava_redindian.jpeg,
Herbs,Angelica,,"garnish, seasoning",herbs.jpeg,
Herbs,Anise,,"garnish, seasoning",herbs.jpeg,
Herbs,Basil,Genovese,"garnish, seasoning",herbs.jpeg,
Herbs,Basil,Lemon,"garnish, seasoning",herbs.jpeg,
Herbs,Basil,Lettuce Leaf,"garnish, seasoning",herbs.jpeg,
Herbs,Basil,Mammoth,"garnish, seasoning",herbs.jpeg,
Herbs,Basil,Sweet,"garnish, seasoning",herbs.jpeg,
Herbs,Basil,Thai (Holy),"garnish, seasoning",herbs.jpeg,
Herbs,Bay Laurel,,"garnish, seasoning",herbs.jpeg,
Herbs,Chives,,"garnish, seasoning",herbs.jpeg,
Herbs,Cilantro,,"garnish, seasoning",herbs.jpeg,
Herbs,Comfrey,,"garnish, seasoning",herbs.jpeg,
Herbs,Dill,,"garnish, seasoning",herbs.jpeg,
Herbs,Fennel,,"garnish, seasoning",herbs.jpeg,
Herbs,Garlic,,"garnish, seasoning",herbs.jpeg,
Herbs,Lavender,,"garnish, seasoning",herbs.jpeg,
Herbs,Lemon Balm,,"garnish, seasoning",herbs.jpeg,
Herbs,Lemon Verbena,,"garnish, seasoning",herbs.jpeg,
Herbs,Marjoram,,"garnish, seasoning",herbs.jpeg,
Herbs,Mint,Apple,"garnish, seasoning",herbs.jpeg,
Herbs,Mint,Chocolate,"garnish, seasoning",herbs.jpeg,
Herbs,Mint,Corsican,"garnish, seasoning",herbs.jpeg,
Herbs,Mint,Curly,"garnish, seasoning",herbs.jpeg,
Herbs,Mint,Ginger,"garnish, seasoning",herbs.jpeg,
Herbs,Mint,Julep,"garnish, seasoning",herbs.jpeg,
Herbs,Mint,Orange,"garnish, seasoning",herbs.jpeg,
Herbs,Mint,Peppermint,"garnish, seasoning",herbs.jpeg,
Herbs,Mint,Pineapple,"garnish, seasoning",herbs.jpeg,
Herbs,Mint,Spearmint,"garnish, seasoning",herbs.jpeg,
Herbs,Mint,Standard,"garnish, seasoning",herbs.jpeg,
Herbs,Oregano,,"garnish, seasoning",herbs.jpeg,
Herbs,Paprika,,"garnish, seasoning",herbs.jpeg,
Herbs,Parsley,Curly Leaf,"garnish, seasoning",herbs.jpeg,
Herbs,Parsley,Flat Leaf,"garnish, seasoning",herbs.jpeg,
Herbs,Rosemary,,"garnish, seasoning",herbs.jpeg,
Herbs,Saffron,,"garnish, seasoning",herbs.jpeg,
Herbs,Sage,,"garnish, seasoning",herbs.jpeg,
Herbs,Savory,,"garnish, seasoning",herbs.jpeg,
Herbs,Star Anise,,"garnish, seasoning",herbs.jpeg,
Herbs,Tarragon,,"garnish, seasoning",herbs.jpeg,
Herbs,Thyme,English,"garnish, seasoning",herbs.jpeg,
Herbs,Thyme,Lemon,"garnish, seasoning",herbs.jpeg,
Herbs,Thyme,Silver,"garnish, seasoning",herbs.jpeg,
Jujube,Jin,,"fruit, exotic",jujube.jpeg,
Jujube,Lang,,"fruit, exotic",jujube.jpeg,
Jujube,Li,,"fruit, exotic",jujube.jpeg,
Jujube,Shan Xi Li,,"fruit, exotic",jujube.jpeg,
Jujube,Sherwood,,"fruit, exotic",jujube.jpeg,
Jujube,So,,"fruit, exotic",jujube.jpeg,
Jujube,Sugar Cane,,"fruit, exotic",jujube.jpeg,
Jujube,Xu Zhou,,"fruit, exotic",jujube.jpeg,
Kale,Curly,,"vegetable, leaf greens",kale_curly.jpeg,kale_curly.jpeg
Kale,Nero,,"vegetable, leaf greens",kale_curly.jpeg,
Kale,Red Russian,,"vegetable, leaf greens",kale_curly.jpeg,
Kiwis,,,fruit,kiwi.jpeg,
Kumquats,Oval,,"fruit, citrus",kumquats_oval.jpeg,kumquats_oval.jpeg
Kumquats,Round,,"fruit, citrus",kumquats_oval.jpeg,
Lemons,Avalon,,"fruit, citrus",lemons_eureka.jpeg,
Lemons,Bush,,"fruit, citrus",lemons_eureka.jpeg,
Lemons,Dorshapo,,"fruit, citrus",lemons_eureka.jpeg,
Lemons,Eureka,,"fruit, citrus",lemons_eureka.jpeg,lemons_eureka.jpeg
Lemons,Limetta,,"fruit, citrus",lemons_eureka.jpeg,
Lemons,Lisbon,,"fruit, citrus",lemons_eureka.jpeg,
Lemons,Meyer,,"fruit, citrus",lemons_eureka.jpeg,
Lemons,Ponderosa,,"fruit, citrus",lemons_eureka.jpeg,
Lemons,Verna,,"fruit, citrus",lemons_eureka.jpeg,
Lettuce,Arrugula,,"vegetable, leaf greens",lettuce.jpeg,
Lettuce,Butterhead,Green,"vegetable, leaf greens",lettuce.jpeg,
Lettuce,Butterhead,Red,"vegetable, leaf greens",lettuce.jpeg,
Lettuce,"Endive, Belgian",,"vegetable, leaf greens",lettuce.jpeg,
Lettuce,"Endive, Broad-Leaved",,"vegetable, leaf greens",lettuce.jpeg,
Lettuce,Esacrole,,"vegetable, leaf greens",lettuce.jpeg,
Lettuce,Frisee (Curly Endive),,"vegetable, leaf greens",lettuce.jpeg,
Lettuce,Iceberg,,"vegetable, leaf greens",lettuce.jpeg,
Lettuce,Mesclun,,"vegetable, leaf greens",lettuce.jpeg,
Lettuce,Oak Leaf,Green,"vegetable, leaf greens",lettuce.jpeg,
